firstName,lastName,postCode,city,gender,therapySetting,slot,availableDay,availableWeekdays,availableTimes,waitTime,apointmentType,accessible,targetGroup,paymentStatus,problemFields,languages,therapyApproach,specialization,special
Elara,Sternfels,8001,Zürich (Central),Female,Individual Therapy,Morning,Mo,"Monday, Wednesday, Friday",Afternoon,Less than two weeks,Online session only,True,Myself (over 18),Covered by basic insurance,Professional life,German,Cognitive Behavioral Therapy (CBT),Anxiety,
Mathis,Dupont,1003,Lausanne (Central),Male,Couples Therapy,Afternoon,Tue,"Tuesday, Thursday","Morning, Evening",Two to four weeks,Flexible (both Live and Online),False,Couples,Partially covered by supplementary insurance,Relationship,English,Psychodynamic Therapy,Relationship,Psychedelic-Assisted Therapy
Linus,Amrein,6000,Lucerne (Luzern),Non-binary,Group Therapy,Evening,Wed,"Monday, Tuesday, Wednesday, Thursday, Friday","All Day (Morning, Afternoon, Evening)",At least four weeks,Live/In-person appointment only,True,Young people and children,To be paid by yourself (Private/Self-pay),Family,French,EMDR,Trauma,
Chiara,Bärtschi,3000,Bern (Berne),Female,Family Therapy,Morning,Thu,"Monday, Wednesday",Morning,Less than two weeks,Online session only,False,Parents (for guidance),Covered by basic insurance,"School, learning, study",Italian,Family/Couples Therapy,Child Psychology,
Pascal,Frey,4058,Basel,Male,Individual Therapy,Afternoon,Fr,"Tuesday, Thursday, Friday",Evening,Two to four weeks,Flexible (both Live and Online),True,Myself (over 18),Partially covered by supplementary insurance,Addiction,Spanish,Cognitive Behavioral Therapy (CBT),Addiction,
Heidi,Zeller,9000,St. Gallen,Non-binary,Couples Therapy,Evening,Sat,Wednesday,"Afternoon, Evening",At least four weeks,Live/In-person appointment only,True,"Company/organisation (EAP, consulting)",To be paid by yourself (Private/Self-pay),Professional life,German,Psychodynamic Therapy,Career,
Silas,Weber,5000,Aarau,Female,Group Therapy,Morning,Sun,"Monday, Tuesday, Thursday",Morning,Less than two weeks,Online session only,False,Myself (over 18),Covered by basic insurance,Food-related problems,English,Cognitive Behavioral Therapy (CBT),Eating Disorders,Unicorn driven Balint Groups
Adèle,Girardin,2500,Biel/Bienne,Male,Family Therapy,Afternoon,Mo,Friday,"Morning, Afternoon, Evening",Two to four weeks,Flexible (both Live and Online),True,Couples,Partially covered by supplementary insurance,Relationship,French,Family/Couples Therapy,Family,Guided Forest Bathing
Gian,Caminada,7000,Chur,Prefer not to say,Individual Therapy,Evening,Tue,"Tuesday, Wednesday, Thursday",Afternoon,At least four weeks,Live/In-person appointment only,False,Young people and children,To be paid by yourself (Private/Self-pay),Gender identity/sexual orientation,Italian,Psychodynamic Therapy,LGBTQ+,
Leana,Koch,8400,Winterthur,Female,Couples Therapy,Morning,Wed,Monday,Evening,Less than two weeks,Online session only,True,Parents (for guidance),Covered by basic insurance,Bereavement,German,Cognitive Behavioral Therapy (CBT),Grief,
